Filename,Code,Product,Ordered,Qty,Ordered_Cases,Ordered_Units,Delivered_Cases,Delivered_Units,Case_Size,Total_Ordered_Units,Total_Delivered_Units,RSP,Price,Unit_Cost,Tax,Value,Price_Valid,Calc_Method,Expected_Value
Invoice(35).pdf,39785A,Feel Good Organic KOerganic Kefir (Org) 1x250ml,6,6,0,6.0,0,6.0,1,6.0,6.0,2.65,1.89,1.89,0.00,11.34,✓,,
Invoice(35).pdf,39786A,Feel Good Organic KOerganic Kefir (Org) 1x750ml,6,6,0,6.0,0,6.0,1,6.0,6.0,6.72,4.80,4.80,0.00,28.79,✓,,
Invoice(35).pdf,12794B,Booja Booja Vanilla (Org) 6x465ml,0/1,0/1,0.0,1.0,0.0,1.0,6,1.0,1.0,8.65,30.13,5.02,1.15,5.02,✓,,
Invoice(35).pdf,48977A,Booja Booja Cookie Dough Ice Cream (Org) 6x465ml,0/1,0/1,0.0,1.0,0.0,1.0,6,1.0,1.0,8.65,30.13,5.02,1.15,5.02,✓,,
Invoice(35).pdf,51144A,Booja-Booja Hot Chocolate (Org) 6x200g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,8.68,30.26,5.04,6.96,30.26,✓,,
Invoice(35).pdf,10115A,Doves Farm Doves Self Raising White Flour (Org) 1x25Kg,1,1,0,1.0,0,1.0,1,1.0,1.0,N/A,44.40,44.40,0.00,44.40,✓,,
Invoice(35).pdf,11077B,Bulk Flour Doves Brown Rice Flour G/F 1x25kg,1,1,0,1.0,0,1.0,1,1.0,1.0,N/A,57.14,57.14,0.00,57.14,✓,,
Invoice(35).pdf,10718A,Clearspring Sencha Green Tea Bags (Org) 4x20Bags,1/0,1/0,1.0,0.0,1.0,0.0,4,4.0,4.0,4.35,9.95,2.49,0.00,9.95,✓,,
Invoice(35).pdf,10728A,Clearspring Sunflower Frying Oil (Org) 6x500ml,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,6.37,27.29,4.55,0.00,27.29,✓,,
Invoice(35).pdf,29106A,Clearspring Matcha Green Tea (Org) 4x20Bags,1/0,1/0,1.0,0.0,1.0,0.0,4,4.0,4.0,5.27,15.05,3.76,0.00,15.05,✓,,
Invoice(35).pdf,32663B,Clearspring White Wine Vinegar 6x500ml,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,5.08,18.52,3.09,0.00,18.52,✓,,
Invoice(35).pdf,10780A,Clipper Instant Decaf Coffee (Org) FT 6x100g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,10.43,44.68,7.45,0.00,44.68,✓,,
Invoice(35).pdf,10789A,Clipper Sleep Easy Tea (Org) 6x20Bags,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,3.67,15.74,2.62,0.00,15.74,✓,,
