Code,Product,Ordered,Qty,RSP,Price,Tax,Value
49807B,Faith in Nature Lavender & Geranium Body Wash 1x1Ltr,2,2,15.39,8.34,3.84,16.69
46829A,Gino Girolomoni Penne (Org) 12x500g,1/0,1/0,1.88,16.11,0,16.11
27755A,Green People Moisturising Conditioner (Org) 1x200ml,2,2,18.93,10.26,4.72,20.52
39655A,"Heath and Heather Dandelion,Burdock & Hawthorn (Org) 6x20Bags",1/0,1/0,3.34,14.32,0,14.32
50267B,Hungry Soul Smoked Paprika Cashew Cream Spread 1x120g,2,2,6.28,4.49,0,8.98
12465A,IND Prepacks OrganCicranberries (Org) 6x250g,1/0,1/0,10.66,42.65,0,42.65
12616A,IND Prepacks OrganPicinhead Oatmeal (Org) 6x1Kg,1/0,1/0,3.85,15.38,0,15.38
28551A,IND Prepacks OrganPicsyllium Husks (Org) 1x250g,2,2,10.48,6.99,0,13.97
38438A,IND Prepacks OrganDicates (Org) 6x500g,1/0,1/0,5.53,22.13,0,22.13
34116B,Mag 365 Original Magnesium 1x150g,2,2,17.59,10.33,2.79,20.66
49381B,Juspy Collagen Protein Cacao Superfood Ble 1x200g,1,1,18.89,11.89,1.61,11.89
13957A,Kallo Classic Cornflakes (Org) 12x375g,1/0,1/0,4.78,40.99,0,40.99
44241A,Karma Cola Karma Cola 24x330ml,1/0,1/0,3.96,55.17,12.69,55.17
45856B,Kerzenfarm Beeswax Pillar Thin 1x1,1,1,11.29,6.12,1.41,6.12
48796A,Kiki (*EM*) Mushroom Coffee Powder (Org) 1x75g,2,2,30.21,14.5,0,29
50788A,KIKI (*EM*) Castor Oil (Org) 1x250ml,3,3,12.42,6.06,4.18,18.17
47379A,King Soba White Rice Paper (Org) 10x200g,1/0,1/0,3.9,27.83,0,27.83
10922B,Kingfisher Baking Soda Mint 12x100ml,0/3,0/3,5.58,36.32,2.09,9.08
16247B,Kingfisher Aloe Vera Tea Tree Fennel Toothpaste 12x100ml,0/1,0/1,5.58,36.32,0.7,3.03
33281B,Kingfisher Childrens Strawberry Toothpaste 12x100ml,0/1,0/1,5.58,36.32,0.7,3.03
40176B,Kingfisher Charcoal Natural Toothpaste 12x100ml,0/2,0/2,5.58,36.32,1.39,6.05
34902B,Linwoods Milled Chia Seed 1x200g,3,3,8.16,5.83,0,17.48
34904A,Linwoods Milled Flaxseed & Goji Berries (Org) 1x425g,3,3,8.29,5.92,0,17.77
34910A,Linwoods Milled Flaxseed 200g (Org) 1x200g,3,3,4.62,3.3,0,9.91
45666A,Linwoods Milled Hemp Seed/Flax/Chia Seeds (Or 1x200g,2,2,5.92,4.23,0,8.45
30010B,Method Daily Granite Spray 1x354ml,1,1,7.18,3.34,0.77,3.34
30593B,Method Stainless Steel Polish Spray 1x354ml,1,1,8.12,4.72,1.09,4.72
41198A,Mogli Spelt Pretzels (Org) 10x50g,1/0,1/0,1.8,11.32,1.53,11.31
12897A,Nairns Oatcakes (Org) 12x250g,1/0,1/0,3.1,17.26,3.97,17.26
