Filename,Code,Product,Ordered,Qty,Ordered_Cases,Ordered_Units,Delivered_Cases,Delivered_Units,Case_Size,Total_Ordered_Units,Total_Delivered_Units,RSP,Price,Unit_Cost,Tax,Value,Price_Valid,Calc_Method,Expected_Value
Invoice(41).pdf,12145A,Yogi Tea Bed Time Teabags (Org) 6x17Bags,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,3.42,11.01,1.83,0.00,11.01,✓,,
Invoice(41).pdf,27250A,Yogi Tea Choco Chai 8x90g,1/0,1/0,1.0,0.0,1.0,0.0,8,8.0,8.0,3.67,16.80,2.10,0.00,16.80,✓,,
Invoice(41).pdf,44093A,Yogi Tea Turmeric Orange (Org) 6x17Bags,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,3.42,11.74,1.96,0.00,11.74,✓,,
Invoice(41).pdf,47327A,Yogi Tea Maca Chai (Org) 6x17Bags,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,3.42,11.01,1.83,0.00,11.01,✓,,
Invoice(41).pdf,48422A,Yogi Tea Soul Balm (Org) 6x17Bags,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,3.42,11.74,1.96,0.00,11.74,✓,,
Invoice(44).pdf,23800B,Doves Farm Bicarbonate of Soda 1x1kg,1,1,0,1.0,0,1.0,1,1.0,1.0,5.50,3.93,3.93,0.00,3.93,✓,,
Invoice(44).pdf,10515A,IND Bulk Organic IND Dates (Org) 1x2.5kg,2,2,0,2.0,0,2.0,1,2.0,2.0,22.50,15.00,15.00,0.00,30.00,✓,,
Invoice(44).pdf,16285A,IND Bulk Organic IND Desiccated Coconut (Org) 1x5kg,1,1,0,1.0,0,1.0,1,1.0,1.0,60.87,40.58,40.58,0.00,40.58,✓,,
Invoice(43).pdf,49037A,All About KombuchaGinger & Lemon Can (Org)(DRS) 1x330ml,6,6,0,6.0,0,6.0,1,6.0,6.0,3.70,2.15,2.15,2.97,12.90,✓,,
Invoice(43).pdf,49037D,All About KombuchaDeposit Ginger & Lemon Can (Org) DRS-1,0,6,0,0.0,0,6.0,,0.0,6.0,0.15,0.15,0.15,0.00,0.90,✓,,
Invoice(43).pdf,20083A,Atlantic Aromatics Lavender Water (Org) now with Atomis 3x100ml,0/1,0/1,0.0,1.0,0.0,1.0,3,1.0,1.0,6.25,10.16,3.39,0.78,3.39,✓,,
Invoice(43).pdf,50676B,AW Artisan White Sage Smudge Torch Small 1x1,2,2,0,2.0,0,2.0,1,2.0,2.0,6.50,3.52,3.52,1.62,7.05,✓,,
Invoice(43).pdf,33912A,Bergerie Goat's Natural Yoghurt (Org) 8x125g,0/2,0/2,0.0,2.0,0.0,2.0,8,2.0,2.0,1.17,6.69,0.84,0.00,1.67,✓,,
