Filename,Code,Product,Ordered,Qty,Ordered_Cases,Ordered_Units,Delivered_Cases,Delivered_Units,Case_Size,Total_Ordered_Units,Total_Delivered_Units,RSP,Price,Unit_Cost,Tax,Value,Price_Valid,Calc_Method,Expected_Value
Invoice(27).pdf,12795B,Booja Booja Caramel/Pecan/Praline Ice Cream (Org 6x465ml,0/2,0/2,0.0,2.0,0.0,2.0,6,2.0,2.0,8.65,30.13,5.02,2.31,10.04,✓,,
Invoice(27).pdf,46084A,Booja Booja Almond Salted Caramel Truffles 8 pk 8x92g,1/0,1/0,1.0,0.0,1.0,0.0,8,8.0,8.0,10.32,47.96,6.00,11.03,47.96,✓,,
Invoice(27).pdf,49584A,Booja Booja Deeply Chocolate Ice Cream (Org) 22x110ml,0/2,0/2,0.0,2.0,0.0,2.0,22,2.0,2.0,3.06,39.10,1.78,0.82,3.55,✓,,
Invoice(27).pdf,49211B,Cheeki Dinosaur Bottle 400ml 1x400ml,2,2,0,2.0,0,2.0,1,2.0,2.0,25.04,13.57,13.57,6.24,27.14,✓,,
Invoice(27).pdf,10718A,Clearspring Sencha Green Tea Bags (Org) 4x20Bags,1/0,1/0,1.0,0.0,1.0,0.0,4,4.0,4.0,4.35,9.95,2.49,0.00,9.95,✓,,
Invoice(27).pdf,47461A,Clearspring Coconut Blossom Syrup (Org) 6x300g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,5.75,24.66,4.11,0.00,24.66,✓,,
Invoice(27).pdf,10787A,Clipper Peppermint Teabags (Org) 6x20Bags,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,3.67,15.74,2.62,0.00,15.74,✓,,
Invoice(27).pdf,40522A,Clipper Pure Green 20s FT (Org) 6x20Bags,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,4.10,17.57,2.93,0.00,17.57,✓,,
Invoice(27).pdf,45090A,Clipper Green Tea Decaf (Org) 40 Bags 6x40Bags,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,5.81,24.91,4.15,0.00,24.91,✓,,
Invoice(27).pdf,45372A,Clipper Everyday 80s (Org) 4x80Bags,7/0,7/0,7.0,0.0,7.0,0.0,4,28.0,28.0,6.18,17.66,4.42,0.00,123.62,✓,,
Invoice(27).pdf,28934B,Cocos Natural Yoghurt DF (Org) 6x250g,0/2,0/2,0.0,2.0,0.0,2.0,6,2.0,2.0,5.44,23.32,3.89,0.00,7.77,✓,,
Invoice(27).pdf,43210A,Cocos Coconut Milk Kefir Nat (Org)(DRS) 6x500ml,0/2,0/2,0.0,2.0,0.0,2.0,6,2.0,2.0,5.32,22.78,3.80,0.00,7.59,✓,,
Invoice(27).pdf,43210D,Cocos Deposit Coconut Milk Kefir Natural DRS-1,0,2,0,0.0,0,2.0,,0.0,2.0,0.15,0.15,0.15,0.00,0.30,✓,,
Invoice(27).pdf,43211A,Cocos Coconut Milk Kefir Strawb (Org)(DRS) 6x200ml,0/5,0/5,0.0,5.0,0.0,5.0,6,5.0,5.0,3.98,17.06,2.84,0.00,14.22,✓,,
Invoice(27).pdf,43211D,Cocos Deposit Coconut Milk Kefir Strawb DRS-1,0,5,0,0.0,0,5.0,,0.0,5.0,0.15,0.15,0.15,0.00,0.75,✓,,
Invoice(27).pdf,18522B,Delamere Goat's Butter 10x250g,0/8,0/8,0.0,8.0,0.0,8.0,10,8.0,8.0,5.86,41.83,4.18,0.00,33.47,✓,,
Invoice(27).pdf,11082A,Doves Farm Digestive Biscuits (Org) 12x200g,1/0,1/0,1.0,0.0,1.0,0.0,12,12.0,12.0,2.33,15.87,1.32,2.14,15.87,✓,,
Invoice(27).pdf,11091B,Doves Farm White Bread Flour GF 5x1kg,1/0,1/0,1.0,0.0,1.0,0.0,5,5.0,5.0,3.79,13.55,2.71,0.00,13.55,✓,,
Invoice(27).pdf,11101A,Doves Farm Plain White Flour (Org) 5x1kg,1/0,1/0,1.0,0.0,1.0,0.0,5,5.0,5.0,2.46,7.47,1.49,0.00,7.47,✓,,
Invoice(27).pdf,11105A,Doves Farm Rye Flour Wholemeal (Org) 5x1kg,1/0,1/0,1.0,0.0,1.0,0.0,5,5.0,5.0,2.48,7.53,1.51,0.00,7.53,✓,,
Invoice(27).pdf,11108A,Doves Farm Self-Raising White Flour (Org) 5x1kg,1/0,1/0,1.0,0.0,1.0,0.0,5,5.0,5.0,2.50,7.57,1.51,0.00,7.57,✓,,
Invoice(27).pdf,11114A,Doves Farm Strong White Flour (Org) 5x1.5kg,2/0,2/0,2.0,0.0,2.0,0.0,5,10.0,10.0,3.34,10.13,2.03,0.00,20.25,✓,,
Invoice(27).pdf,17607A,Doves Farm Brown Rice Penne GF (Org) 8x400g,1/0,1/0,1.0,0.0,1.0,0.0,8,8.0,8.0,5.15,29.41,3.68,0.00,29.41,✓,,
Invoice(27).pdf,38821A,Dr Coys Vegetable Bouillon (Org) 6x150g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,5.66,24.26,4.04,0.00,24.26,✓,,
Invoice(27).pdf,40249A,Dr. Bronner Baby-Mild Castile Liquid Soap (Org) 1x946ml,1,1,0,1.0,0,1.0,1,1.0,1.0,28.94,15.69,15.69,3.61,15.69,✓,,
Invoice(27).pdf,40268A,Dr. Bronner Lavender Soap Bar (Org) 1x140g,3,3,0,3.0,0,3.0,1,3.0,3.0,6.82,3.70,3.70,2.55,11.10,✓,,
Invoice(27).pdf,40273A,Dr. Bronner Peppermint Soap Bar (Org) 1x140g,3,3,0,3.0,0,3.0,1,3.0,3.0,6.83,3.70,3.70,2.55,11.10,✓,,
Invoice(27).pdf,40277A,Dr. Bronner Rose Soap Bar (Org) 1x140g,2,2,0,2.0,0,2.0,1,2.0,2.0,6.82,3.70,3.70,1.70,7.40,✓,,
Invoice(27).pdf,23007B,Eco Bath Co Natural Sisal Hand Brush Japanese St 1x1,2,2,0,2.0,0,2.0,1,2.0,2.0,8.23,4.78,4.78,2.20,9.56,✓,,
Invoice(27).pdf,30378B,Ecozone Washing Machine & Dishwasher Cleaner 1x(2x35),1,1,0,1.0,0,1.0,2,1.0,1.0,7.83,4.09,4.09,0.94,4.09,✓,,
Invoice(27).pdf,39973A,Emma Noel Almond Soap (Org) 1x(3x150g),2,2,0,2.0,0,2.0,3,2.0,2.0,14.38,7.80,7.80,3.59,15.59,✓,,
Invoice(27).pdf,36973B,Emmas So NaturalsHarmony Blend Eco Soy Candle 50 hour 1x1,1,1,0,1.0,0,1.0,1,1.0,1.0,22.98,12.45,12.45,2.86,12.45,✓,,
Invoice(27).pdf,37605B,Emmas So NaturalsPacific Ylang Ylang Eco Soy Candle 5 1x1,2,2,0,2.0,0,2.0,1,2.0,2.0,22.98,12.45,12.45,5.73,24.91,✓,,
Invoice(27).pdf,43036B,Faith In Nature Lavender & Geranium Body Wash Bulk 1x5L,1,1,0,1.0,0,1.0,1,1.0,1.0,89.02,38.60,38.60,8.88,38.60,✓,,
Invoice(27).pdf,47445B,Free From Fellows Vanilla Mallows VEGAN 10x105g,1/0,1/0,1.0,0.0,1.0,0.0,10,10.0,10.0,3.23,18.73,1.87,4.31,18.73,✓,,
Invoice(27).pdf,47598B,FSC Quercetin 200mg 1x60Caps,1,1,0,1.0,0,1.0,1,1.0,1.0,18.70,10.98,10.98,1.48,10.98,✓,,
Invoice(27).pdf,45235A,Fushi Neem Oil Virgin (Org) 1x50ml,1,1,0,1.0,0,1.0,1,1.0,1.0,14.02,7.60,7.60,1.75,7.60,✓,,
Invoice(27).pdf,49637B,Fushi Root Revival Oil 1x30ml,1,1,0,1.0,0,1.0,1,1.0,1.0,28.09,15.23,15.23,3.50,15.23,✓,,
Invoice(27).pdf,16642B,Green People Minty Cool Toothpaste 1x50ml,2,2,0,2.0,0,2.0,1,2.0,2.0,6.66,3.61,3.61,1.66,7.21,✓,,
Invoice(27).pdf,16665B,Green People Rosemary Deodorant 1x75ml,1,1,0,1.0,0,1.0,1,1.0,1.0,14.31,7.76,7.76,1.78,7.76,✓,,
Invoice(27).pdf,27751A,Green People Neutral Scent Free 24 Hour Cream 1x50ml,1,1,0,1.0,0,1.0,1,1.0,1.0,27.59,14.95,14.95,3.44,14.95,✓,,
