Filename,Code,Product,Ordered,Qty,Ordered_Cases,Ordered_Units,Delivered_Cases,Delivered_Units,Case_Size,Total_Ordered_Units,Total_Delivered_Units,RSP,Price,Unit_Cost,Tax,Value,Price_Valid,Calc_Method,Expected_Value
Invoice(33).pdf,49037A,All About KombuchaGinger & Lemon Can (Org)(DRS) 1x330ml,8,8,0,8.0,0,8.0,1,8.0,8.0,3.70,2.15,2.15,3.96,17.20,✓,,
Invoice(33).pdf,49037D,All About KombuchaDeposit Ginger & Lemon Can (Org) DRS-1,0,8,0,0.0,0,8.0,,0.0,8.0,0.15,0.15,0.15,0.00,1.20,✓,,
Invoice(33).pdf,43609B,Suma Tea Tree & Aloe Vera Soap 6x90g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,4.86,15.81,2.64,3.64,15.81,✓,,
Invoice(33).pdf,33311A,Amisa Veggie Garden Crispbread (Org) GF 12x100g,1/0,1/0,1.0,0.0,1.0,0.0,12,12.0,12.0,2.59,19.57,1.63,2.64,19.57,✓,,
Invoice(33).pdf,49625A,Amisa Pure Porridge Oats GF (Org) 4x1kg,1/0,1/0,1.0,0.0,1.0,0.0,4,4.0,4.0,6.63,18.94,4.74,0.00,18.94,✓,,
Invoice(33).pdf,14534A,Atlantic Aromatics Lavender (Org) 3x20ml,1/0,1/0,1.0,0.0,1.0,0.0,3,3.0,3.0,18.95,30.81,10.27,7.09,30.81,✓,,
Invoice(33).pdf,14548A,Atlantic Aromatics Peppermint (Org) 3x10ml,1/0,1/0,1.0,0.0,1.0,0.0,3,3.0,3.0,8.75,14.23,4.74,3.27,14.22,✓,,
Invoice(33).pdf,14926B,Atlantic Aromatics Eucalyptus Smithii (Org) 3x10ml,1/0,1/0,1.0,0.0,1.0,0.0,3,3.0,3.0,6.75,10.98,3.66,2.53,10.98,✓,,
Invoice(33).pdf,38407A,Atlantic Aromatics Rosewater Travel Size CDU (Org) 9x50ml,1/0,1/0,1.0,0.0,1.0,0.0,9,9.0,9.0,5.95,29.03,3.23,6.67,29.02,✓,,
Invoice(33).pdf,10074A,Ballybrado Oatflakes (Org) 10x750g,1/0,1/0,1.0,0.0,1.0,0.0,10,10.0,10.0,3.55,25.35,2.54,0.00,25.35,✓,,
Invoice(33).pdf,49148B,Be Kind Hollywood Frankincense & Myrrh 1x10Sticks,2,2,0,2.0,0,2.0,1,2.0,2.0,9.99,5.42,5.42,2.49,10.83,✓,,
Invoice(33).pdf,43571A,Bergerie Goat's Natural Yoghurt (Org) 6x400g,0/2,0/2,0.0,2.0,0.0,2.0,6,2.0,2.0,4.85,20.78,3.46,0.00,6.93,✓,,
Invoice(33).pdf,44808B,Better You Dlux+ Vitamin D + K2 Oral Spray 1x12ml,2,2,0,2.0,0,2.0,1,2.0,2.0,14.62,8.59,8.59,2.32,17.18,✓,,
