Code,Ordered,Qty,SKU,Content,Description,Price,Sale,Total,SourcePDF
95465,1,1,6,1 litre,"Orange-juice, Your Organic NatuBreiologisch DE",2.93,4.39,17.58,Order_4191827.pdf
95467,1,1,4,"1,200 millilitre","Apple-juice, Your Organic NatureBiologisch DE",2.88,5.39,11.52,Order_4191827.pdf
97099,1,1,12,400 gram,"Diced-tomatoes, Your Organic NaBtioulroegisch . IT",0.70,1.39,8.40,Order_4191827.pdf
97166,1,1,6,1 litre,"Olive-Oil Spanish, Fertilia Biologisch NL",7.05,14.49,42.30,Order_4191827.pdf
97223,1,1,4,1 kilogram,"Muesli nut-fruits, Your Organic NBaitoulroegisch NL",3.60,6.69,14.40,Order_4191827.pdf
97228,1,1,6,100 gram,"Instant-Coffee instant, Biocafe Biologisch US",4.37,8.29,26.22,Order_4191827.pdf
97255,1,1,6,900 gram,"Flower-honey liquid, Your OrganiBci oNloagtiusrceh BE",4.70,8.49,28.20,Order_4191827.pdf
97285,1,1,10,1 litre,"Almond-Drink sugar free, EkoplazBaiologisch IT",1.53,3.19,15.30,Order_4191827.pdf
97395,1,1,12,200 gram,"Chocolate-bar milk hazelnut, HapBpioyl oCghisoccholate CH",3.14,5.99,37.68,Order_4191827.pdf
97396,1,1,15,200 gram,"Chocolate-bar milk 34%, Happy CBihoolocgoislachte CH",3.12,5.99,46.80,Order_4191827.pdf
97435,1,1,6,750 gram,"Plums dried, seedless, EkoplazaBiologisch FR",8.99,17.29,53.94,Order_4191827.pdf
5000155,1,1,12,250 millilitre,"Maple-syrup A-grade, Horizon Biologisch NL",5.26,9.29,63.12,Order_4191827.pdf
5000158,1,1,6,350 gram,"Almond-paste with sea salt, HorizBoionlogisch NL",5.69,10.19,34.14,Order_4191827.pdf
5000171,1,1,6,350 gram,"Peanut-butter crunchy with sea sBailot,l oHgiosrcihzon NL",2.66,4.89,15.96,Order_4191827.pdf
5000176,1,1,6,450 gram,"Cane-sugar-molasses, Horizon Biologisch NL",1.94,3.59,11.64,Order_4191827.pdf
5000189,1,1,12,250 gram,"Plums without seeds, Horizon Biologisch FR",4.15,7.49,49.80,Order_4191827.pdf
5000217,1,1,8,200 gram,"Peanuts roasted & salted, HorizoBniologisch NL",1.94,3.59,15.52,Order_4191827.pdf
5000345,1,1,12,100 gram,"Rice-puff-cakes dark carob, BonvBitioalogisch CH",1.69,2.99,20.28,Order_4191827.pdf
5000349,2,2,1,100 millilitre,"Echinacea-cough-syrup, De TraaByiologisch NL",4.27,7.99,8.54,Order_4191827.pdf
5000430,1,1,6,240 millilitre,"Sweet-chilisauce, Yakso Biologisch NL",1.62,2.54,9.72,Order_4191827.pdf
5001130,3,3,12,400 gram,"Cat-Pate fish, grain-free canned, BYioalorrgaishch NL",1.74,3.49,62.64,Order_4191827.pdf
5001131,3,3,12,400 gram,"Cat-Pate chicken, spirulina & seaBwioeloegdis gchrain-free c, YNaLrrah",1.74,3.49,62.64,Order_4191827.pdf
5001132,1,1,12,405 gram,"Cat-chuncks chicken & turkey, caBnionloegdi,s cYharrah NL",1.74,3.49,20.88,Order_4191827.pdf
5001513,1,1,10,250 gram,"Tortilla-chips natural, Amaizin Biologisch BE",1.66,2.99,16.60,Order_4191827.pdf
5001626,1,1,6,350 gram,"Baguette white, Zonnemaire Biologisch NL",1.51,2.99,9.06,Order_4191827.pdf
5001631,1,1,6,180 gram,"Croissant buttercream, ZonnemaBirieologisch NL",1.79,3.69,10.74,Order_4191827.pdf
