Filename,Code,Product,Ordered,Qty,Ordered_Cases,Ordered_Units,Delivered_Cases,Delivered_Units,Case_Size,Total_Ordered_Units,Total_Delivered_Units,RSP,Price,Unit_Cost,Tax,Value,Price_Valid,Calc_Method,Expected_Value
Invoice(41).pdf,20534A,Biona Tart Cherry Juice Pure (Org) 6x1L,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,8.53,29.73,4.96,6.84,29.73,✓,,
Invoice(41).pdf,11118B,Bulk Flour Doves White Rice Flour G/F 1x16kg,1,1,0,1.0,0,1.0,1,1.0,1.0,N/A,32.28,32.28,0.00,32.28,✓,,
Invoice(41).pdf,45735A,Bulk Flour Strong White Flour 550 (Org) 1x25Kg,1,1,0,1.0,0,1.0,1,1.0,1.0,N/A,38.22,38.22,0.00,38.22,✓,,
Invoice(41).pdf,27697A,Bulk Sugar Coconut Palm Sugar (Org) 1x20kg,1,1,0,1.0,0,1.0,1,1.0,1.0,N/A,122.32,122.32,0.00,122.32,✓,,
Invoice(41).pdf,10701A,"Clearspring Kukicha, Roasted Twig Tea - Loose td 6x90g",1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,5.97,25.58,4.26,0.00,25.58,✓,,
Invoice(41).pdf,46707A,Dr Martins Jungle Coconut Water FT (Org) 15x330ml,1/0,1/0,1.0,0.0,1.0,0.0,15,15.0,15.0,2.43,21.15,1.41,4.86,21.15,✓,,
Invoice(41).pdf,42347A,Free and Easy Sweet Potato Kale Coconut Curry (Org 6x400g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,4.63,19.85,3.31,0.00,19.85,✓,,
Invoice(41).pdf,10515A,IND Bulk Organic IND Dates (Org) 1x2.5kg,2,2,0,2.0,0,2.0,1,2.0,2.0,22.50,15.00,15.00,0.00,30.00,✓,,
Invoice(41).pdf,32870A,IND Bulk Organic IND Coconut Flour (Org) 1x2.5kg,1,1,0,1.0,0,1.0,1,1.0,1.0,13.52,9.01,9.01,0.00,9.01,✓,,
Invoice(41).pdf,49952B,Kiki (*EM*) Himalayan Shilajit Resin 1x30g,1,1,0,1.0,0,1.0,1,1.0,1.0,49.54,26.19,26.19,3.54,26.19,✓,,
Invoice(41).pdf,27936B,IND POS Info Wobbler - Coconut 1x1,1,1,0,1.0,0,1.0,1,1.0,1.0,N/A,0.50,0.50,0.12,0.50,✓,,
Invoice(41).pdf,13761A,Rabenhorst Wheatgrass Cocktail In Balance(Org) 6x750ml,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,5.58,19.44,3.24,4.47,19.44,✓,,
Invoice(41).pdf,22742A,Sojade Vanilla Soya Yoghurt (Org) 6x400g,0/2,0/2,0.0,2.0,0.0,2.0,6,2.0,2.0,3.37,14.44,2.41,0.00,4.81,✓,,
Invoice(41).pdf,47979A,Sojade Vanilla Dessert (Org) 8x530g,0/2,0/2,0.0,2.0,0.0,2.0,8,2.0,2.0,2.64,15.06,1.88,0.00,3.76,✓,,
Invoice(41).pdf,50882A,Sojade Soya Cooking Cream (Org) 8x500ml,0/2,0/2,0.0,2.0,0.0,2.0,8,2.0,2.0,3.29,18.79,2.35,0.00,4.70,✓,,
Invoice(41).pdf,48956B,Wild Coconut & Vanilla Deo 8x40g,0/1,0/1,0.0,1.0,0.0,1.0,8,1.0,1.0,8.79,40.83,5.10,1.17,5.10,✓,,
Invoice(41).pdf,33320A,Zaytoun Freekeh 6x200g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,4.96,21.25,3.54,0.00,21.25,✓,,
Invoice(41).pdf,40623B,Zaytoun Caramelised Almonds FT 6x140g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,10.18,35.46,5.91,8.16,35.46,✓,,
Invoice(43).pdf,51307B,Wild Atlantic Ice Wild Atlantic Irish Ice 1x2Kg,1,0,0,1.0,0,0.0,1,1.0,0.0,1.57,0.91,0.91,0.00,0.00,✓,,
Invoice(42).pdf,49037A,All About KombuchaGinger & Lemon Can (Org)(DRS) 1x330ml,10,10,0,10.0,0,10.0,1,10.0,10.0,3.70,2.15,2.15,4.95,21.50,✓,,
Invoice(42).pdf,49037D,All About KombuchaDeposit Ginger & Lemon Can (Org) DRS-1,0,10,0,0.0,0,10.0,,0.0,10.0,0.15,0.15,0.15,0.00,1.50,✓,,
Invoice(42).pdf,43609B,Suma Tea Tree & Aloe Vera Soap 6x90g,2/0,2/0,2.0,0.0,2.0,0.0,6,12.0,12.0,4.86,15.81,2.64,7.27,31.61,✓,,
Invoice(42).pdf,14926B,Atlantic Aromatics Eucalyptus Smithii (Org) 3x10ml,1/0,1/0,1.0,0.0,1.0,0.0,3,3.0,3.0,6.75,10.98,3.66,2.53,10.98,✓,,
Invoice(42).pdf,50676B,AW Artisan White Sage Smudge Torch Small 1x1,1,1,0,1.0,0,1.0,1,1.0,1.0,6.50,3.52,3.52,0.81,3.52,✓,,
Invoice(42).pdf,42652B,"BEE Health Propolis, Vitamin C & Zinc Tablets 1x60s",1,1,0,1.0,0,1.0,1,1.0,1.0,9.71,5.70,5.70,0.77,5.70,✓,,
Invoice(42).pdf,33912A,Bergerie Goat's Natural Yoghurt (Org) 8x125g,0/4,0/4,0.0,4.0,0.0,4.0,8,4.0,4.0,1.17,6.69,0.84,0.00,3.35,✓,,
Invoice(42).pdf,43023A,Bergerie Goat's Yoghurt Vanilla (Org) 8x125g,1/2,1/2,1.0,2.0,1.0,2.0,8,10.0,10.0,1.53,8.73,1.09,0.00,10.91,✓,,
Invoice(42).pdf,44808B,Better You Dlux+ Vitamin D + K2 Oral Spray 1x12ml,2,2,0,2.0,0,2.0,1,2.0,2.0,14.62,8.59,8.59,2.32,17.18,✓,,
Invoice(42).pdf,44738B,Bio D Grapefruit Washing Up Liquid 20L 1x20L,1,1,0,1.0,0,1.0,1,1.0,1.0,N/A,44.63,44.63,10.26,44.63,✓,,
Invoice(42).pdf,50153B,Biohealth Vitamin E Cream 1x84g,2,2,0,2.0,0,2.0,1,2.0,2.0,16.90,9.16,9.16,4.21,18.32,✓,,
