Code,Product,Ordered,Qty,RSP,Price,Tax,Value
12145A,Yogi Tea Bed Time Teabags (Org) 6x17Bags,1/0,1/0,3.42,11.01,0.00,11.01
27250A,Yogi Tea Choco Chai 8x90g,1/0,1/0,3.67,16.80,0.00,16.80
44093A,Yogi Tea Turmeric Orange (Org) 6x17Bags,1/0,1/0,3.42,11.74,0.00,11.74
47327A,Yogi Tea Maca Chai (Org) 6x17Bags,1/0,1/0,3.42,11.01,0.00,11.01
48422A,Yogi Tea Soul Balm (Org) 6x17Bags,1/0,1/0,3.42,11.74,0.00,11.74
23800B,Doves Farm Bicarbonate of Soda 1x1kg,1,1,5.50,3.93,0.00,3.93
10515A,IND Bulk Organic IND Dates (Org) 1x2.5kg,2,2,22.50,15.00,0.00,30.00
16285A,IND Bulk Organic IND Desiccated Coconut (Org) 1x5kg,1,1,60.87,40.58,0.00,40.58
49037A,All About KombuchaGinger & Lemon Can (Org)(DRS) 1x330ml,6,6,3.70,2.15,2.97,12.90
49037D,All About KombuchaDeposit Ginger & Lemon Can (Org) DRS-1,0,6,0.15,0.15,0.00,0.90
20083A,Atlantic Aromatics Lavender Water (Org) now with Atomis 3x100ml,0/1,0/1,6.25,10.16,0.78,3.39
50676B,AW Artisan White Sage Smudge Torch Small 1x1,2,2,6.50,3.52,1.62,7.05
33912A,Bergerie Goat's Natural Yoghurt (Org) 8x125g,0/2,0/2,1.17,6.69,0.00,1.67
43023A,Bergerie Goat's Yoghurt Vanilla (Org) 8x125g,1/2,1/2,1.53,8.73,0.00,10.91
43571A,Bergerie Goat's Natural Yoghurt (Org) 6x400g,0/4,0/4,4.85,20.78,0.00,13.85
38658B,Bio D Grapefruit Washing Up Liquid 12x750ml,1/0,1/0,3.69,25.74,5.92,25.74
48145B,Bio D Dishwasher Tablets 8x30Tabs,1/0,1/0,10.46,48.61,11.18,48.61
50929B,Bio D Cotton Fresh Fabric Conditioner 12x1Ltr,1/0,1/0,6.11,42.60,9.80,42.60
27646B,BioKult Bio Kult Candea Probiotics 1x60s,1,1,19.95,11.72,1.58,11.72
14037A,Biona Whole Cherry Tomatoes (Org) 12x400g,1/0,1/0,2.03,17.44,0.00,17.44
14050A,Biona Cranberry Fruit Drink NAS 6x750ml,1/0,1/0,7.04,24.52,5.64,24.52
14123A,Biona Spelt Spaghetti Wholemeal (Org) 12x500g,1/0,1/0,3.37,28.87,0.00,28.87
17079A,Biona Cannellini Beans (Org) 6x400g,1/0,1/0,1.62,6.93,0.00,6.93
22905A,Biona Sour Snakes (Org) 10x75g,1/0,1/0,2.68,15.55,3.58,15.55
41190A,Biona Black Chick Peas (Org) 6x400g,1/0,1/0,1.55,6.63,0.00,6.63
39785A,Feel Good Organic KOerganic Kefir (Org) 1x250ml,6,6,2.65,1.89,0.00,11.34
39786A,Feel Good Organic KOerganic Kefir (Org) 1x750ml,10,10,6.72,4.80,0.00,47.98
12795B,Booja Booja Caramel/Pecan/Praline Ice Cream (Org 6x465ml,0/1,0/1,8.65,30.13,1.15,5.02
30154A,Booja Booja Vanilla Ice Cream (Org) 22x110ml,0/1,0/1,3.06,39.10,0.41,1.78
38694A,Booja Booja Caramel/Pecan/Praline Ice Cream (Org 22x110ml,0/2,0/2,3.06,39.10,0.82,3.55
47004A,Booja Booja Deeply Chocolate Truffles (Org) 8x92g,1/0,1/0,10.32,47.96,11.03,47.96
48978A,Booja Booja Choc Fudge Brownie Ice Cream (Org) 6x465ml,0/1,0/1,8.65,30.13,1.15,5.02
48979A,Booja Booja Mango & Raspberry Ice Cream (Org) 6x465ml,0/1,0/1,8.65,30.13,1.15,5.02
49583A,Booja Booja Mango & Raspberry Ice Cream (Org) 22x110ml,0/2,0/2,3.06,39.10,0.82,3.55
50335A,Booja Booja Salted Caramel Chocolate Wonders 8x65g,1/0,1/0,4.35,20.19,4.64,20.19
51144A,Booja-Booja Hot Chocolate (Org) 6x200g,1/0,1/0,8.52,29.70,6.83,29.70
50280A,Carleys English Mustard (Org) 6x170g,1/0,1/0,3.18,13.63,0.00,13.63
49220B,Cheeki Coffee Cup Marble 355ml 1x1,1,1,24.65,13.36,3.07,13.36
10691A,Clearspring Brown Rice Vinegar 6x150ml,1/0,1/0,3.21,13.75,0.00,13.75
10718A,Clearspring Sencha Green Tea Bags (Org) 4x20Bags,1/0,1/0,4.35,12.44,0.00,12.44
10727A,Clearspring Sunflower Frying Oil (Org) 6x1L,1/0,1/0,10.92,46.78,0.00,46.78
29106A,Clearspring Matcha Green Tea (Org) 4x20Bags,1/0,1/0,5.27,15.05,0.00,15.05
28240A,Clipper After Dinner Mints' Mint/Fennel (Org 4x20Bags,1/0,1/0,4.14,11.83,0.00,11.83
45372A,Clipper Everyday 80s (Org) 4x80Bags,3/0,3/0,6.18,17.66,0.00,52.98
45373A,Clipper Green 80s FT (Org) 4x80Bags,1/0,1/0,6.69,19.13,0.00,19.13
43210A,Cocos Coconut Milk Kefir Nat (Org)(DRS) 6x500ml,0/2,0/2,5.82,24.94,0.00,8.31
43210D,Cocos Deposit Coconut Milk Kefir Natural DRS-1,0,2,0.15,0.15,0.00,0.30
43211A,Cocos Coconut Milk Kefir Strawb (Org)(DRS) 6x200ml,0/3,0/3,4.38,18.79,0.00,9.39
43211D,Cocos Deposit Coconut Milk Kefir Strawb DRS-1,0,3,0.15,0.15,0.00,0.45
40167A,Cultured Food Co. RAW Sauerkraut Chilli & Dill (Org) 1x400g,3,3,6.05,4.32,0.00,12.96
18522B,Delamere Goat's Butter 10x250g,1/2,1/2,5.86,41.83,0.00,50.20
11076B,Doves Farm Rice Flour GF 5x1kg,1/0,1/0,3.10,9.42,0.00,9.42
11089B,Doves Farm Plain White Flour GF 5x1kg,1/0,1/0,3.79,11.51,0.00,11.51
11101A,Doves Farm Plain White Flour (Org) 5x1kg,4/0,4/0,2.46,8.79,0.00,35.17
11104B,Doves Farm Quick Yeast 8x125g,1/0,1/0,2.37,13.55,0.00,13.55
11108A,Doves Farm Self-Raising White Flour (Org) 5x1kg,1/0,1/0,2.49,8.91,0.00,8.91
11109A,Doves Farm Spelt Flour White (Org) 5x1kg,1/0,1/0,4.47,15.98,0.00,15.98
