Code,Product,Ordered,Qty,RSP,Price,Tax,Value
11110A,Doves Farm Spelt Flour Wholemeal (Org) 5x1kg,1/0,1/0,3.83,13.67,0.00,13.67
11114A,Doves Farm Strong White Flour (Org) 5x1.5kg,1/0,1/0,3.34,11.92,0.00,11.92
11120A,Doves Farm Strong Wholemeal Flour (Org) 5x1.5kg,1/0,1/0,3.11,11.09,0.00,11.09
14671B,Doves Farm Bicarbonate of Soda GF 5x200g,1/0,1/0,1.82,5.53,0.00,5.53
17607A,Doves Farm Brown Rice Penne GF (Org) 8x400g,1/0,1/0,5.15,29.40,0.00,29.40
26441A,Doves Farm Digestive Biscuits (Org) 12x400g,1/0,1/0,3.87,29.26,3.95,29.26
43664A,Doves Farm Apricot Oatbars Chia Seeds (Org) GF 18x35g,1/0,1/0,1.22,13.86,1.87,13.86
43666A,Doves Farm Original Oatbars Chocolate Chips (Or 18x35g,1/0,1/0,1.22,13.86,1.87,13.86
38821A,Dr Coys Vegetable Bouillon (Org) 6x150g,1/0,1/0,5.66,24.26,0.00,24.26
40073A,Dr. Bronner Naked Lip Balm (Org) 1x4g,2,2,5.22,2.83,1.30,5.66
40249A,Dr. Bronner Baby-Mild Castile Liquid Soap (Org) 1x946ml,1,1,28.94,15.69,3.61,15.69
40277A,Dr. Bronner Rose Soap Bar (Org) 1x140g,2,2,6.82,3.70,1.70,7.40
40283A,Dr. Bronner Orange Ginger Lip Balm (Org) 1x4g,3,3,5.22,2.83,1.95,8.49
19206B,Eco Bath Co Epsom Salt Bath Soak - Balance 1x1kg,1,1,11.38,6.17,1.42,6.17
49112A,Ecomil Coconut Milk Barista Low Sugar (Org) 6x1Ltr,1/0,1/0,2.55,10.94,0.00,10.94
11381B,Faith In Nature Lavender & Geranium Shampoo 6x400ml,0/2,0/2,8.65,22.49,1.73,7.50
46015A,"FETE Toothbrushes""Magnificent Mauve"" - Purple Soft 1x1",1,1,4.17,2.26,0.52,2.26
47445B,Free From Fellows Vanilla Mallows VEGAN 10x105g,1/0,1/0,3.23,18.73,4.31,18.73
41028A,Fushi Shea Butter Unrefined Virgin (Org) 1x200g,4,2,20.60,11.17,5.14,22.33
42262A,Geo Organics Tadka Dahl (Org) 6x400g,1/0,1/0,4.32,18.53,0.00,18.53
12047A,Holle Muesli Demeter 6x250g,1/0,1/0,3.98,17.05,0.00,17.05
47645A,Holle Tropic Tiger (Apple Mango & Passion 12x100g,1/0,1/0,1.28,10.96,0.00,10.96
50266B,Hungry Soul Garlic & Chives Cashew Cream Spread 1x120g,2,2,6.28,4.49,0.00,8.98
50268B,Hungry Soul Original Cashew Cream Spread 1x120g,2,2,6.28,4.49,0.00,8.98
23369B,If You Care Baking Sheets 31.75cm x 40.64cm 1x24Sheets,1,1,6.08,3.53,0.81,3.53
11574B,IND Prepack Herbs Arrowroot 3x50g,1/0,1/0,1.79,3.57,0.00,3.57
12509A,IND Prepacks OrganHicemp Seeds (Org) 6x250g,1/0,1/0,3.41,13.65,0.00,13.65
12534A,IND Prepacks OrganLicinseed Golden (Org) 6x500g,1/0,1/0,4.02,16.09,0.00,16.09
28551A,IND Prepacks OrganPicsyllium Husks (Org) 1x250g,2,2,10.48,6.99,0.00,13.97
47410A,IND Prepacks OrganGicinger Crystallised (Org) 6x250g,1/0,1/0,5.91,19.22,4.42,19.21
50865A,Iswari All in One Super Greens (Org) 1x200g,1,1,15.68,9.87,1.33,9.87
49034B,PrizMAG Pure Magnesium Bisglycinate 1x150Caps,2,2,34.45,20.23,5.46,40.47
49381B,Juspy Collagen Protein Cacao Superfood Ble 1x200g,2,2,18.89,11.89,3.21,23.78
49417B,Juspy Collagen Protein Cacao Superfood Ble 1x400g,2,2,32.33,20.35,5.49,40.69
45856B,Kerzenfarm Beeswax Pillar Thin 1x1,4,4,11.29,6.12,5.63,24.48
51133A,KIKI (*EM*) Lion's Mane Mushroom Extract (Org) 1x50ml,1,1,23.48,12.41,1.68,12.41
10922B,Kingfisher Baking Soda Mint 12x100ml,0/1,0/1,5.58,36.32,0.70,3.03
10923B,Kingfisher Fennel Fluoride Free 12x100ml,0/2,0/2,5.58,36.32,1.39,6.05
10924B,Kingfisher Mint Lemon Fluoride Free 12x100ml,0/2,0/2,5.58,36.32,1.39,6.05
16247B,Kingfisher Aloe Vera Tea Tree Fennel Toothpaste 12x100ml,0/1,0/1,5.58,36.32,0.70,3.03
40176B,Kingfisher Charcoal Natural Toothpaste 12x100ml,0/2,0/2,5.58,36.32,1.39,6.05
48138B,Kingfisher Mint Toothpaste with Fluoride 12x100ml,0/1,0/1,5.58,36.31,0.70,3.03
19524A,Le Pain des Fleurs Quinoa Crispbread GF FT (Org) 6x150g,1/0,1/0,5.03,18.99,2.56,18.99
34910A,Linwoods Milled Flaxseed 200g (Org) 1x200g,3,3,4.62,3.30,0.00,9.91
40917A,Lord of Tofu Tofu Natural (Org) 5x200g,0/3,0/3,2.48,8.87,0.00,5.32
30010B,Method Daily Granite Spray 1x354ml,2,2,7.18,3.34,1.53,6.67
30011B,Method Wood Polish Spray Almond 354ml 1x354ml,1,1,7.18,3.34,0.77,3.34
42615B,Method Rhubarb Floor Cleaner 1x739ml,3,3,7.18,3.34,2.30,10.01
45570B,Method Antibac Cleaner Orange Yuzu 1x828ml,1,1,6.37,2.96,0.68,2.96
45571B,Method Washing Up Liquid Coconut Water 1x532ml,2,2,5.97,3.47,1.59,6.93
12840A,Natural Cool Blueberries (Org) 10x300g,1/0,1/0,7.83,55.94,0.00,55.94
12842A,Natural Cool Green Beans (Org) 8x450g,0/4,0/4,3.05,17.42,0.00,8.71
12844A,Natural Cool Leaf Spinach (Org) 8x450g,0/2,0/2,3.05,17.42,0.00,4.36
12845A,Natural Cool Peas Demeter 8x450g,0/4,0/4,4.20,24.02,0.00,12.01
20651A,Natural Cool Raspberries (Org) 10x300g,0/8,0/8,7.05,50.33,0.00,40.26
20653A,Natural Cool Strawberries (Org) 10x300g,0/8,0/8,6.03,43.07,0.00,34.45
46445A,Natural Cool Potato Croquettes (Org) 10x400g,0/1,0/1,5.20,37.13,0.00,3.71
46446A,Natural Cool Mini Hash Browns (Rosti) (Org) 10x390g,0/1,0/1,4.74,33.83,0.00,3.38
51014A,Natural Cool Jumbo Fries (Org) 6x1.25Kg,1/0,1/0,8.57,36.73,0.00,36.73
43060A,Naturli Vegan Butter Block (Org) GF 15x200g,0/8,0/8,2.88,30.89,0.00,16.47
10947A,Nielsen Massey Vanilla Extract (Org) Madagascan 1x118ml,2,2,25.61,18.29,0.00,36.59
22460B,Nielsen Massey Pure Almond Extract 1x60ml,2,2,5.37,3.84,0.00,7.67
36154B,ProVen Probiotics A - Z Multivitamins Child (Chewable 1x30tabs,1,1,9.76,5.73,0.77,5.73
36155B,ProVen Probiotics Adult - 25 Billion Capsule 1x30caps,1,1,20.92,12.29,1.66,12.29
49256A,Rabenhorst Healthy Blood Pressure Juice (Org) 6x750ml,1/0,1/0,5.44,18.97,4.36,18.97
44805B,Roll It Pastry Shortcrust Pastry - Gluten Free 1x400g,1,1,10.23,6.44,0.87,6.43
48027A,Sambazon Acai Scoopable (Org) 1x500ml,11,11,8.48,4.92,12.46,54.17
37730B,Shines of Killybegs Irish Albacore Tuna in Olive Oil Tin 1x111g,10,10,5.41,3.87,0.00,38.67
45445B,Shines of Killybegs Wild Irish Sardines in Olive Oil 1x106g,8,8,3.27,2.33,0.00,18.67
48644B,Shines of Killybegs Wild Irish Tuna in Spring Water 1x104g,6,6,5.13,3.67,0.00,22.00
50757B,Shines of Killybegs Irish Mackerel in Brine 1x125g,6,6,3.15,2.25,0.00,13.51
51149B,Shines of Killybegs Skipjack Tuna in Organic Olive Oil 1x150g,3,3,6.16,4.40,0.00,13.20
19978A,Sojade Blueberry Soya Yoghurt (Org) 6x150g,0/4,0/4,1.72,7.37,0.00,4.91
22742A,Sojade Vanilla Soya Yoghurt (Org) 6x400g,0/2,0/2,3.37,14.44,0.00,4.81
47979A,Sojade Vanilla Dessert (Org) 8x530g,0/1,0/1,2.64,15.06,0.00,1.88
39157A,Sonnentor Cinnamon Ceylon Ground (Org) 6x40g,2/0,2/0,2.54,10.87,0.00,21.73
39212A,Sonnentor Nutmeg Ground (Org) 6x30g,1/0,1/0,3.96,16.99,0.00,16.99
40992A,Sonnentor Viennese Espresso Beans KILO (Org) 1x1kg,3,3,38.91,27.79,0.00,83.37
40993A,Sonnentor Viennese Melange Beans (Org) 5x500g,1/0,1/0,21.54,76.93,0.00,76.93
41282A,Sonnentor Cloves Ground (Org) 6x35g,1/0,1/0,3.02,12.96,0.00,12.96
42164A,Sonnentor Fenugreek Seeds (Org) 6x120g,1/0,1/0,2.95,12.63,0.00,12.63
33335A,SynerChi Ginger & Lemongrass (Org) 1x330ml,8,8,3.32,1.54,2.84,12.35
33336A,SynerChi Oranges & Lemon (Org) 1x330ml,3,3,3.32,1.54,1.06,4.63
33338A,SynerChi Raspberry & Rosehip (Org) 1x330ml,4,4,3.32,1.54,1.42,6.18
39397A,SynerChi Pear with Matcha Tea (Org) 1x330ml,4,4,3.32,1.54,1.42,6.18
46711A,SynerChi Coconut & Pineapple (Org) 1x330ml,6,6,3.32,1.54,2.13,9.27
14167A,Taifun Grill Sausages (Org) 6x250g,0/3,0/3,6.33,27.11,0.00,13.55
38903A,Taifun FeTo Natural (Org) Fermented 6x200g,0/2,0/2,5.37,19.55,0.00,6.52
45357B,Together Health OceanPure Magnesium 1x30Caps,2,2,8.38,4.92,1.33,9.85
45363B,Together Health Wholevit Stress Aid Complex 1x30Caps,2,2,13.98,8.21,2.22,16.42
49836A,Together Health Lion's Mane Mushroom (Org) 1x60caps,2,2,31.32,18.40,4.97,36.80
36785A,True Natural GoodneCsacao Powder (Org) 1x120g,5,5,5.23,3.74,0.00,18.69
36786A,True Natural GoodneCsacao Powder (Org) 1x220g,6,6,8.14,5.81,0.00,34.87
37962B,True Natural GoodneBsee Pollen 1x200g,2,2,12.29,8.78,0.00,17.56
37963A,True Natural GoodneCsoconut Flour (Org) 1x250g,2,2,3.15,2.25,0.00,4.50
46574A,True Natural GoodneRsice Protein (Org) 1x250g,4,4,8.09,5.09,2.75,20.36
50434A,Ucha Kombucha Ginger Kombucha (Org) 1x350ml,2,2,3.00,1.74,0.80,3.48
23016B,Urtekram Soft Wild Rose Body Lotion 6x245ml,0/2,0/2,14.09,45.83,3.51,15.28
49361B,Virtue Brush Bamboo Comb 1x1,1,1,3.07,1.67,0.38,1.67
50939A,Vivani Organic ChocoChoco Dragées Cranberry (Org) 8x75g,1/0,1/0,5.32,24.74,5.69,24.74
40186B,Wild Nutrition *EM* Daily Multi Nutrient for Men 1x60caps,2,2,46.69,22.61,6.11,45.23
23580A,Yogi Tea Ginger (Org) 6x17Bags,1/0,1/0,3.42,11.74,0.00,11.74
51138A,Yogi Tea Mango Chai Tea (Org) 6x17Bags,1/0,1/0,3.42,11.74,0.00,11.74
51139A,Yogi Tea Blood Orange Tea (Org) 6x17Bags,1/0,1/0,3.42,11.74,0.00,11.74
51140A,Yogi Tea Happy Belly Tea (Org) 6x17Bags,1/0,1/0,3.42,11.74,0.00,11.74
46184A,Avalon Organics Biotin B-Complex Shampoo (Org) TEMP 1x414ml,1,0,15.03,8.15,0.00,0.00
51142A,Booja-Booja Orange Scrunch Chocolate Wonders (Or 8x65g,1/0,0/0,4.35,20.19,0.00,0.00
47461A,Clearspring Coconut Blossom Syrup (Org) 6x300g,1/0,0/0,5.75,24.66,0.00,0.00
40334B,Doves Farm White Bread Mix Gluten Free 4x500g,1/0,0/0,4.81,13.75,0.00,0.00
20401B,Ecoleaf Washing Up Liquid 6x1L,1/0,0/0,4.82,16.80,0.00,0.00
50793A,Montezumas Dark Choc Buttons 74% (Org) 8x120g,1/0,0/0,7.14,33.17,0.00,0.00
38604B,Natures Aid (*EM*) 33% Xtra Lysine 1000mg 1x(60+20),1,0,12.71,6.72,0.00,0.00
48034A,Naturli Vegan Butter Spreadable GF (Org) 16x450g,0/4,0/0,5.17,59.07,0.00,0.00
36158B,ProVen Probiotics Delisted A-Z Multivitamin & Mineral w CQ10 (C 1x30caps,2,0,9.74,5.72,0.00,0.00
49593A,True Natural GoodneAsshwagandha Powder (Org) 1x250g,2,0,8.34,5.96,0.00,0.00
14616B,Atlantic Aromatics Winter Magic (Org) 5ml 3x5ml,1/0,1/0,4.71,7.65,1.76,7.65
26582B,BEE Health Propolis Lozenges 1x114g,2,2,3.36,1.82,0.84,3.64
49122A,Biona Tofu Mini Burgers (Org) 4x250g,0/2,0/2,5.37,13.04,0.00,6.52
40249A,Dr. Bronner Baby-Mild Castile Liquid Soap (Org) 1x946ml,2,2,28.94,15.69,7.22,31.38
46053B,Ecover Concentrated Bio Laundry Liquid 1x15L,1,1,156.07,90.63,20.84,90.63
35029B,IND Prepacks Non OBrgeetroot Powder 1x250g,1,1,8.69,5.80,0.00,5.80
49813B,Ocean Saver Dishwasher EcoTabs 8x30Tabs,1/0,1/0,12.44,53.94,12.41,53.94
50835B,Ocean Saver Laundry EcoCaps Non-Bio 5x30Caps,1/0,1/0,13.17,35.68,8.21,35.68
51186B,Ocean Saver Laundry EcoSheets Non-Bio 1x30Sheets,1,1,9.95,5.39,1.24,5.39
18113B,IND POS Tofu Leaflet 1x20,0/1,0/1,N/A,1.50,0.02,0.07
12147A,Yogi Tea Breathe Deep Teabags (Org) 6x17Bags,1/0,1/0,3.42,11.74,0.00,11.74
12150A,Yogi Tea Choco Teabags (Org) 6x17Bags,1/0,1/0,3.42,11.74,0.00,11.74
12152A,Yogi Tea Classic Teabags (Org) 6x17Bags,1/0,1/0,3.42,11.01,0.00,11.01
12166A,Yogi Tea Stomach Ease Teabags (Org) 6x17Bags,1/0,1/0,3.42,11.74,0.00,11.74
12169A,Yogi Tea Throat Comfort Teabags (Org) 6x17Bags,1/0,1/0,3.42,11.74,0.00,11.74
12170A,Yogi Tea Women's Balance Teabags (Org) 6x17Bags,1/0,1/0,3.42,11.74,0.00,11.74
23579A,Yogi Tea Ginger Orange/Vanilla (Org) 6x17Bags,1/0,1/0,3.42,11.74,0.00,11.74
27250A,Yogi Tea Choco Chai 8x90g,1/0,1/0,3.67,16.80,0.00,16.80
27251A,Yogi Tea Classic Chai 8x90g,1/0,1/0,3.67,16.80,0.00,16.80
31239A,Yogi Tea Positive Energy Cran Hibiscus (Org) 6x17Bags,1/0,1/0,3.42,11.74,0.00,11.74
38493A,Yogi Tea Immune Support (Org) 6x17Bags,1/0,1/0,3.42,11.01,0.00,11.01
48422A,Yogi Tea Soul Balm (Org) 6x17Bags,1/0,1/0,3.42,11.74,0.00,11.74
48579A,Yogi Tea Turmeric Chai (Org) 8x90g,1/0,1/0,3.67,16.80,0.00,16.80
49479A,Yogi Tea Ashwagandha (Org) 6x17Bgas,1/0,1/0,3.42,11.74,0.00,11.74
26580B,BEE Health Propolis Cream 1x30ml,1,0,5.16,2.80,0.00,0.00
42651B,BEE Health Propolis Throat Spray 1x50ml,2,0,8.18,4.43,0.00,0.00
36158B,ProVen Probiotics Delisted A-Z Multivitamin & Mineral w CQ10 (C 1x30caps,2,0,9.74,5.72,0.00,0.00
