Code,Ordered,Qty,SKU,Content,Description,Price,Sale,Total,Calculated_Total,Validation_Status,SourcePDF
2805,2,2,1,150 gram,"Mozzarella mini, Züger Biologisch CH",1.58,3.19,3.16,3.16,PASS,Order_4295657.pdf
3288,5,5,1,150 gram,"Blueberry-yogurt, Pur Natur Biologisch BE",1.06,1.75,5.30,5.30,PASS,Order_4295657.pdf
3631,1,1,1,220 gram,"Oriental-roll China, Soto Biologisch DE",2.36,4.39,2.36,2.36,PASS,Order_4295657.pdf
3635,20,20,1,250 gram,"Cream-Butter salted, Laitois Biologisch NL",2.94,4.69,58.80,58.80,PASS,Order_4295657.pdf
3771,2,2,1,285 gram,"Falafal nuggets, Florentin Biologisch NL",2.92,4.85,5.84,5.84,PASS,Order_4295657.pdf
3842,3,3,1,170 gram,"Hummus avocado, Florentin Biologisch NL",2.11,3.19,6.33,6.33,PASS,Order_4295657.pdf
3844,1,1,1,170 gram,"Hummus sun-dried tomato, FloreBnitoinlogisch NL",2.17,3.19,2.17,2.17,PASS,Order_4295657.pdf
4436,1,1,1,160 gram,"Cheese-alternative intense slicesB vioeloggaisnc, hFIT FOOD VBeEgan Deli",2.37,4.49,2.37,2.37,PASS,Order_4295657.pdf
4760,7,7,1,150 gram,"Frischkäse California natural 70+B, iÖolomgaisch DE",1.25,2.89,8.75,8.75,PASS,Order_4295657.pdf
4760,3,3,1,150 gram,"Frischkäse California natural 70+B, iÖolomgaisch DE",1.31,2.89,3.93,3.93,PASS,Order_4295657.pdf
4819,1,1,1.150,1 kilogram,"Brie whole 50+ 1 kilo, Öma Bio-Dynamisch AT",13.88,30.90,15.96,15.96,PASS,Order_4295657.pdf
4875,10,10,1,150 gram,"Feta Greek, Kourellas Biologisch NL",2.01,3.79,20.10,20.10,PASS,Order_4295657.pdf
5851,2,2,1,200 gram,"Bacon-strips smoked, St. HendricBkiologisch NL",3.37,5.99,6.74,6.74,PASS,Order_4295657.pdf
5936,2,2,1,140 gram,"Roompaté, St. Hendrick Biologisch NL",1.88,3.59,3.76,3.76,PASS,Order_4295657.pdf
31001,1,1,2.730,2.50 kilogram,"Cheese-piece Allgäuer EmmentaBleior- D45 yn+a,m Öismcha DE",13.42,30.90,36.64,36.64,PASS,Order_4295657.pdf
31147,4,4,1,240 gram,"Falafel sweet potato, Florentin Biologisch NL",2.91,4.75,11.64,11.64,PASS,Order_4295657.pdf
31200,3,3,1,160 gram,"Cashew-black-bean-burger, SotoBiologisch DE",2.17,3.99,6.51,6.51,PASS,Order_4295657.pdf
31372,3,3,1,70 gram,"Salame Milano, Fumagalli Biologisch IT",2.17,4.19,6.51,6.51,PASS,Order_4295657.pdf
31373,2,2,1,70 gram,"Prosciutto di Parma, Fumagalli Biologisch IT",4.26,7.99,8.52,8.52,PASS,Order_4295657.pdf
31632,16,16,1,320 gram,"Puff-pastry, Donaustrudel Biologisch DE",2.20,3.89,35.20,35.20,PASS,Order_4295657.pdf
31676,3,3,1,500 millilitre,"Kombucha grenade boost, KarmaBio-Dynamisch FR",2.44,4.09,7.32,7.32,PASS,Order_4295657.pdf
31897,6,6,1,200 gram,"Cottage-cheese, Züger Biologisch CH",1.02,2.19,6.12,6.12,PASS,Order_4295657.pdf
31897,3,3,1,200 gram,"Cottage-cheese, Züger Biologisch CH",1.07,2.19,3.21,3.21,PASS,Order_4295657.pdf
31968,6,6,1,400 gram,"Soj-yoghut Greek style natural, SBoijoalodgeisch FR",1.63,2.85,9.78,9.78,PASS,Order_4295657.pdf
31968,2,2,1,400 gram,"Soj-yoghut Greek style natural, SBoijoalodgeisch FR",1.71,2.85,3.42,3.42,PASS,Order_4295657.pdf
31975,2,2,1,160 gram,"Vegetable-burger with red lentils,B Sioolotogisch DE",2.16,4.09,4.32,4.32,PASS,Order_4295657.pdf
32067,4,4,1,1 litre,"Whipped-cream fresh, Pur NaturBiologisch BE",7.21,10.39,28.84,28.84,PASS,Order_4295657.pdf
32198,4,4,1,500 millilitre,"Kombucha mango passion fruit, KBaior-mDyanamisch FR",2.56,4.09,10.24,10.24,PASS,Order_4295657.pdf
32199,1,1,1,1 litre,"Kombucha ginger, Karma Bio-Dynamisch FR",4.18,6.79,4.18,4.18,PASS,Order_4295657.pdf
32201,1,1,1,500 millilitre,"Goatkefir from raw goat's milk, DBei oBloognistech Weide NL",2.33,3.99,2.33,2.33,PASS,Order_4295657.pdf
32344,1,1,1.540,1.50 kilogram,"Gorgonzola BOB 1.5 kilos, ArrigoBnioi logisch NL",14.08,31.90,21.68,21.68,PASS,Order_4295657.pdf
32379,4,4,1,150 gram,"Parmigiano-reggiano piece of, SBainotlo'Agnisncah NL",3.77,6.89,15.08,15.08,PASS,Order_4295657.pdf
32445,3,3,1,100 gram,"Bruschetta tomato, Marqt Biologisch NL",1.79,3.19,5.37,5.37,PASS,Order_4295657.pdf
32786,1,1,1.680,1.50 kilogram,"Crémeux-de-Bourgogne, FromagBeiroileo gJisacchques Delin NL",22.33,48.90,37.51,37.51,PASS,Order_4295657.pdf
32939,4,4,1,200 gram,"Halloumi, Ducas Biologisch NL",4.30,7.59,17.20,17.20,PASS,Order_4295657.pdf
33618,3,3,1,400 gram,"Soy-yogurt blueberry cherry, SojaBdioelogisch FR",2.16,3.59,6.48,6.48,PASS,Order_4295657.pdf
33808,6,6,1,750 millilitre,"Coconut-water RAW, Rebel KitchBeionlogisch GB",4.73,7.69,28.38,28.38,PASS,Order_4295657.pdf
42035,2,2,1,275 gram,"Dairy-alternative coconut mango Bviaonloigllias,c hHarvest MooDnE",2.12,3.49,4.24,4.24,PASS,Order_4295657.pdf
45000,6,6,1,250 gram,"Sheep-yogurt Greek style vanilla,B Bioelorggisecrhie FR",1.74,3.09,10.44,10.44,PASS,Order_4295657.pdf
45000,4,4,1,250 gram,"Sheep-yogurt Greek style vanilla,B Bioelorggisecrhie FR",1.83,3.09,7.32,7.32,PASS,Order_4295657.pdf
45006,6,6,0.212,200 gram,"Chicken-breast without skin, KemBpioelorgisch NL",25.71,43.50,32.70,32.70,PASS,Order_4295657.pdf
45087,4,4,1,200 gram,"Tortellini basil pesto fresh, Bio-VeBriodleogisch DE",2.04,3.59,8.16,8.16,PASS,Order_4295657.pdf
45088,3,3,1,200 gram,"Tortellini cheese-tomatoes fresh,B Bioiolo-gVisecrhde DE",2.04,3.59,6.12,6.12,PASS,Order_4295657.pdf
45151,3,3,1,125 gram,"Olives kalamata, Marqt Biologisch NL",1.67,3.19,5.01,5.01,PASS,Order_4295657.pdf
45153,4,4,1,125 gram,"Olive-mix garlic, Marqt Biologisch NL",1.70,3.19,6.80,6.80,PASS,Order_4295657.pdf
45154,4,4,1,125 gram,"Olives green with garlic, Marqt Biologisch IT",1.75,3.19,7.00,7.00,PASS,Order_4295657.pdf
45454,1,1,1,200 gram,"Rollini spinach-cheese, Soto Biologisch DE",2.18,3.89,2.18,2.18,PASS,Order_4295657.pdf
45471,6,6,1,125 gram,"Mozzarella di bufala, Diano CaseBairoialogisch NL",1.90,3.49,11.40,11.40,PASS,Order_4295657.pdf
45527,2,2,1,400 gram,"Soy-yogurt mango, Sojade Biologisch FR",2.15,3.59,4.30,4.30,PASS,Order_4295657.pdf
45751,1,1,1,1 litre,"Buttermilk, Ommelanden Bio-Dynamisch NL 315",1.50,2.59,1.50,1.50,PASS,Order_4295657.pdf
45779,4,4,1,350 millilitre,"Dairy-Alternative coco Greek stylBei,o nloagtiuscrhal, Abbot KinNnLey's",2.51,4.19,10.04,10.04,PASS,Order_4295657.pdf
45780,2,2,1,350 millilitre,"Dairy-Alternative coco start, natuBraiol,l oAgbisbchot Kinney's NL",2.45,4.39,4.90,4.90,PASS,Order_4295657.pdf
45820,2,2,1,350 gram,"Dairy-Alternative coco start mangBoio, lAogbisbcoht Kinney's NL",2.52,4.19,5.04,5.04,PASS,Order_4295657.pdf
46591,8,8,1,100 gram,"Shoulder-ham, St. Hendrick Biologisch NL",2.19,3.79,17.52,17.52,PASS,Order_4295657.pdf
46592,17,17,1,100 gram,"Breakfast-bacon, St. Hendrick Biologisch NL",2.29,3.59,38.93,38.93,PASS,Order_4295657.pdf
46602,2,2,1,100 gram,"Pastrami, St. Hendrick Biologisch NL",2.97,4.99,5.94,5.94,PASS,Order_4295657.pdf
48634,3,3,1,150 gram,"Feta, Minos Biologisch GR",1.92,2.87,5.76,5.76,PASS,Order_4295657.pdf
48673,3,3,1,200 gram,"Salmon smoked, Zalmhuis SteurBiologisch NL",8.20,14.25,24.60,24.60,PASS,Order_4295657.pdf
48675,2,2,1,150 gram,"Salmon Norwegian smoked deluxNea,t uZuar/lwmilhduis Steur NL",7.52,12.99,15.04,15.04,PASS,Order_4295657.pdf
48708,8,8,1,200 gram,"Cheddar mature, Lye Cross FarmBiologisch NL",3.22,5.59,25.76,25.76,PASS,Order_4295657.pdf
48709,10,10,1,200 gram,"Cheddar red Leichester, Lye CrosBsio lFoagirsmch NL",3.12,5.49,31.20,31.20,PASS,Order_4295657.pdf
48775,8,8,1,240 gram,"Kimchi mild, Completeorganics Biologisch DE",2.89,4.99,23.12,23.12,PASS,Order_4295657.pdf
48816,6,6,1,500 gram,"Kefir mild 1.5%, Andechser Biologisch DE",1.15,2.19,6.90,6.90,PASS,Order_4295657.pdf
48876,11,11,1,2 pc,"Bratwurst garlic & parsley, BrandBt i&ol oLgeisvcieh NL",3.37,6.39,37.07,37.07,PASS,Order_4295657.pdf
48920,8,8,1,60 millilitre,"Shot ginger, Frankly Biologisch DK",0.99,1.89,7.92,7.92,PASS,Order_4295657.pdf
97250,2,2,1,175 gram,"Hummus, Marqt Biologisch BE",1.68,3.19,3.36,3.36,PASS,Order_4295657.pdf
97251,2,2,1,175 gram,"Hummus spicy, Marqt Biologisch BE",1.86,3.19,3.72,3.72,PASS,Order_4295657.pdf
97253,3,3,1,175 gram,"Hummus green pesto, Marqt Biologisch BE",1.84,3.19,5.52,5.52,PASS,Order_4295657.pdf
97254,6,6,1,175 gram,"Hummus sun-dried tomato, MarqBtiologisch BE",1.79,3.19,10.74,10.74,PASS,Order_4295657.pdf
97287,2,2,1,175 gram,"Muhammara, Marqt Biologisch BE",1.97,3.19,3.94,3.94,PASS,Order_4295657.pdf
97289,6,6,1,500 gram,"Yogurt blueberries, Laitois Bio-Dynamisch DE 313",1.58,2.79,9.48,9.48,PASS,Order_4295657.pdf
97291,2,2,1,500 gram,"Yogurt stracciatella, Laitois Bio-Dynamisch DE 313",1.67,2.79,3.34,3.34,PASS,Order_4295657.pdf
97294,2,2,1,500 gram,"Yogurt mango, Laitois Bio-Dynamisch DE 313",1.64,2.79,3.28,3.28,PASS,Order_4295657.pdf
97377,4,4,1,120 gram,"Pesto spinach with aged cheese,B Miolaorgqistch NL",1.66,3.19,6.64,6.64,PASS,Order_4295657.pdf
6000261,6,6,1,170 gram,"Hummus, Florentin Biologisch NL",1.76,2.71,10.56,10.56,PASS,Order_4295657.pdf
6000295,2,2,1,750 millilitre,"Kombucha citrus sugar free, KarmBiao-Dynamisch FR",3.57,5.79,7.14,7.14,PASS,Order_4295657.pdf
6000465,1,1,1,150 gram,"Artichoke-hearts, Bio-Verde Biologisch DE",3.16,5.59,3.16,3.16,PASS,Order_4295657.pdf
6000715,2,2,1,350 gram,"Legume-mix chickpea curry, CooBl iBoleoaginssc hFoods BE",3.31,5.90,6.62,6.62,PASS,Order_4295657.pdf
6000783,2,2,1,120 gram,"Protein-pudding nougat praliné, HBaiorlvoegsistc Mh oon DE",1.09,1.50,2.18,2.18,PASS,Order_4295657.pdf
6000784,2,2,1,120 gram,"Protein-pudding double chocolateB,i oHloagrivscehst Moon DE",1.09,1.50,2.18,2.18,PASS,Order_4295657.pdf
6000814,2,2,1,100 gram,"Pesto basil, Marqt Biologisch NL",1.75,3.19,3.50,3.50,PASS,Order_4295657.pdf
6000852,3,3,1,150 gram,"Cheese-slices lactose free, DanaBteiollogisch BE",2.06,3.69,6.18,6.18,PASS,Order_4295657.pdf
6000926,8,8,1,2 pc,"Sausage sun-dried tomato and oBlivioelo, gBisrcahndt & Levie NL",3.38,6.39,27.04,27.04,PASS,Order_4295657.pdf
6001588,2,2,1,230 gram,"Kimchi mediterranean, CompleteBoirogloagnisiccsh DE",2.89,4.99,5.78,5.78,PASS,Order_4295657.pdf
