Code,Ordered,Qty,SKU,Content,Description,Price,Sale,Total,Calculated_Total,Validation_Status,SourcePDF
91700,1,1,6,400 gram,"Millet, Your Organic Nature Biologisch NL",1.07,2.09,6.42,6.42,PASS,Order_4294423.pdf
91704,1,1,6,400 gram,"Basmati-rice white, Your OrganicB Nioalotguirsech NL",1.25,2.39,7.50,7.50,PASS,Order_4294423.pdf
91726,1,1,6,400 gram,"Almond-flour, Your Organic NatuBreiologisch NL",4.43,8.69,26.58,26.58,PASS,Order_4294423.pdf
91727,1,1,6,400 gram,"Coconut-flour unroasted, Your OrBgioalnogicis Nchature NL",1.10,2.29,6.60,6.60,PASS,Order_4294423.pdf
91843,1,1,6,500 gram,"Chickpea-flour, Your Organic NatBuiorelogisch NL",1.85,3.49,11.10,11.10,PASS,Order_4294423.pdf
91849,1,1,10,200 gram,"Granola-cakes spelt, MJAM Biologisch NL",1.73,3.29,17.30,17.30,PASS,Order_4294423.pdf
92235,1,1,6,250 gram,"Figs dried, Ekoplaza Biologisch NL",3.15,5.99,18.90,18.90,PASS,Order_4294423.pdf
92236,1,1,6,750 gram,"Figs dried, Ekoplaza Biologisch NL",8.26,15.79,49.56,49.56,PASS,Order_4294423.pdf
92238,1,1,6,750 gram,"Dates dried, seedless, Ekoplaza Biologisch NL",3.82,7.29,22.92,22.92,PASS,Order_4294423.pdf
92263,1,1,6,160 gram,"Banana-chips, Your Organic NatuBrioelogisch NL",1.18,2.29,7.08,7.08,PASS,Order_4294423.pdf
92308,1,1,8,250 gram,"Mango dried, Ekoplaza Biologisch BF",3.29,6.49,26.32,26.32,PASS,Order_4294423.pdf
92487,1,1,6,400 millilitre,"Coconut-milk, Ekoplaza Biologisch NL",1.29,2.49,7.74,7.74,PASS,Order_4294423.pdf
92504,1,1,12,200 millilitre,"Fruit-juice pineapple, Your OrganBicio Nlogaitsucrhe DE 313",1.16,2.29,13.92,13.92,PASS,Order_4294423.pdf
92807,1,1,6,490 gram,"Mayonnaise full and creamy, EkoBpiolalozgaisch . NL",2.39,4.49,14.34,14.34,PASS,Order_4294423.pdf
93424,1,1,6,250 gram,"Coffee ground Arabica, EkoplazaBiologisch NL",3.94,7.59,23.64,23.64,PASS,Order_4294423.pdf
94618,1,1,6,750 gram,"Flaxseed, Ekoplaza Biologisch NL",1.97,4.29,11.82,11.82,PASS,Order_4294423.pdf
94645,1,1,6,1 kilogram,"Pumpkin-seeds, Your Organic NaBtiuolroegisch NL",5.80,10.89,34.80,34.80,PASS,Order_4294423.pdf
94748,1,1,6,1 litre,"Apple-juice naturally turbid, LunaB eio T-Deyrnraamisch DE 313",1.89,3.59,11.34,11.34,PASS,Order_4294423.pdf
94752,1,1,6,700 millilitre,"Apple-mango-juice, Luna e TerraBio-Dynamisch DE 313",2.06,3.89,12.36,12.36,PASS,Order_4294423.pdf
94767,1,1,6,700 millilitre,"Apple-ginger-juice with beet, LunBai oe- DTyenrarma isch DE 313",1.90,3.59,11.40,11.40,PASS,Order_4294423.pdf
94815,1,1,6,490 gram,"Mixed-Nuts, Wisselwaar Biologisch NL 315",5.96,10.49,35.76,35.76,PASS,Order_4294423.pdf
97131,1,1,8,500 gram,"Spiral-paste spelt, white, Luna e BTieor-rDaynamisch DE",2.15,3.99,17.20,17.20,PASS,Order_4294423.pdf
97166,1,1,6,1 litre,"Olive-Oil Spanish, Fertilia Biologisch NL",7.05,14.49,42.30,42.30,PASS,Order_4294423.pdf
97223,1,1,4,1 kilogram,"Muesli nut-fruits, Your Organic NBaitoulroegisch NL",3.60,6.69,14.40,14.40,PASS,Order_4294423.pdf
97234,1,1,6,400 gram,"Energy-mix superfood, Nice & NuBtisologisch NL",4.43,8.49,26.58,26.58,PASS,Order_4294423.pdf
97285,1,1,10,1 litre,"Almond-Drink sugar free, EkoplazBaiologisch IT",1.66,3.19,16.60,16.60,PASS,Order_4294423.pdf
97505,1,1,8,750 millilitre,"WC cleaner, The Good Witch Non-food NL",1.83,3.89,14.64,14.64,PASS,Order_4294423.pdf
5000115,1,1,6,500 gram,"Rice-Flakes, Meesters van de HaBlmiologisch NL",2.92,5.29,17.52,17.52,PASS,Order_4294423.pdf
5000168,1,1,6,350 gram,"Tahin without salt, Horizon Biologisch NL",3.32,5.99,19.92,19.92,PASS,Order_4294423.pdf
5000309,1,1,6,400 millilitre,"Chicken-broth, KleinstesoepfabrieBkiologisch NL",2.92,4.99,17.52,17.52,PASS,Order_4294423.pdf
5000345,1,1,12,100 gram,"Rice-puff-cakes dark carob, BonvBitioalogisch CH",1.69,2.99,20.28,20.28,PASS,Order_4294423.pdf
5001443,1,1,6,400 gram,"White-bean, La Bio Idea Biologisch NL",1.06,1.89,6.36,6.36,PASS,Order_4294423.pdf
5001479,1,1,6,500 gram,"Shells tricolore, La Bio Idea Biologisch NL",1.74,3.19,10.44,10.44,PASS,Order_4294423.pdf
5001631,1,1,6,180 gram,"Croissant buttercream, ZonnemaBirieologisch NL",1.79,3.69,10.74,10.74,PASS,Order_4294423.pdf
5001744,1,1,12,250 gram,"Crackers sesame & rosemary, CBriicohlogisch IT",1.77,3.19,21.24,21.24,PASS,Order_4294423.pdf
5002093,1,1,6,1 litre,"Maple-syrup Canadian A degree,B Vioelorgtmiscohnt DK",13.46,23.99,80.76,80.76,PASS,Order_4294423.pdf
5002409,1,1,6,250 gram,"Herbal-salt original, A. Vogel Biologisch NL",3.14,5.79,18.84,18.84,PASS,Order_4294423.pdf
5002998,1,1,12,400 gram,"Tomato-pieces basil, La Bio IdeaBiologisch . IT",1.14,1.99,13.68,13.68,PASS,Order_4294423.pdf
5003438,1,1,6,300 gram,"Cracker wholemeal sesame, ZonBnieolmogaisirceh NL",2.09,3.69,12.54,12.54,PASS,Order_4294423.pdf
5003567,2,2,8,1 litre,"Soyadrink natural, Natumi Biologisch AT",1.06,1.99,16.96,16.96,PASS,Order_4294423.pdf
5003568,1,1,8,1 litre,"Rice-Drink natural, Natumi Biologisch AT",1.46,2.59,11.68,11.68,PASS,Order_4294423.pdf
5003569,4,4,8,1 litre,"Oat-Drink natural, Natumi Biologisch AT",1.45,2.59,46.40,46.40,PASS,Order_4294423.pdf
5004487,1,1,10,125 gram,"Potato-chips salted classic, GoPuBrioelogisch NL",1.30,2.39,13.00,13.00,PASS,Order_4294423.pdf
5005972,1,1,6,500 millilitre,"Lemonade-syrup Elderflower, BeBlvioolior gFisacrhm NL",4.62,7.99,27.72,27.72,PASS,Order_4294423.pdf
5005973,1,1,6,500 millilitre,"Lemonade-syrup ginger, Belvoir FBaiorlmogisch NL",4.62,7.99,27.72,27.72,PASS,Order_4294423.pdf
5006035,1,1,12,750 millilitre,"Mineral-water without carbon dioxNidieet-,a Lgrlaarnisllcyhr NL",1.08,1.99,12.96,12.96,PASS,Order_4294423.pdf
5006414,1,1,15,160 gram,"Tuna-pieces in water, Fish 4 EveNr atuur/wild DE",2.07,3.79,31.05,31.05,PASS,Order_4294423.pdf
5006422,1,1,1,320 gram,"Baguette rustic gluten free, SchnBitzioelorgisch . NL",2.92,5.29,2.92,2.92,PASS,Order_4294423.pdf
5006472,1,1,6,750 millilitre,"Apple-juice, Schulp Biologisch NL",2.01,3.69,12.06,12.06,PASS,Order_4294423.pdf
5006829,2,2,6,400 millilitre,"Coconut-milk, TerraSana Biologisch LK",1.92,3.49,23.04,23.04,PASS,Order_4294423.pdf
5006968,1,1,12,330 millilitre,"Lemonade lime, Lemonaid+ Biologisch DE",1.35,2.39,16.20,16.20,PASS,Order_4294423.pdf
5006971,1,1,12,330 millilitre,"Icetea green, ChariTea Biologisch DE",1.35,2.39,16.20,16.20,PASS,Order_4294423.pdf
5006972,1,1,12,330 millilitre,"Icetea mate, ChariTea Biologisch DE",1.35,2.39,16.20,16.20,PASS,Order_4294423.pdf
5007019,1,1,4,450 gram,"Bleach-Complex and stain removNeorn, -Sfooondett DE",1.89,3.27,7.56,7.56,PASS,Order_4294423.pdf
5007109,1,1,12,100 gram,"Corn waffles pure chocolate cocoBnioulto,g Bisocnhvita NL",1.64,2.99,19.68,19.68,PASS,Order_4294423.pdf
5007185,1,1,6,1 litre,"Hempdrink sugar free, Ecomil Biologisch ES",2.27,4.19,13.62,13.62,PASS,Order_4294423.pdf
5007307,1,1,6,750 millilitre,"Power-juice blueberry, Schulp Biologisch NL",5.49,8.49,32.94,32.94,PASS,Order_4294423.pdf
5007378,1,1,3,2 pc,"Vanilla-pods bourbon, Cook Biologisch FR",4.47,7.99,13.41,13.41,PASS,Order_4294423.pdf
5008210,1,1,6,750 millilitre,"Toilet-cleaner orange & jasmine, NMoan-rfcoeold's Green SoaNpL",2.29,4.59,13.74,13.74,PASS,Order_4294423.pdf
5009980,1,1,10,50 gram,"Raspberry in dark chocolate, LanBdigolaorgtiesnch AT",1.77,3.09,17.70,17.70,PASS,Order_4294423.pdf
5011184,1,1,6,1 litre,"Pomegranate-juice, Biona Biologisch NL",4.22,7.49,25.32,25.32,PASS,Order_4294423.pdf
5011431,2,2,1,125 gram,"Matcha-powder, Mattisson Biologisch NL",8.84,15.99,17.68,17.68,PASS,Order_4294423.pdf
5011506,1,1,1,500 gram,"Sourdough-bread chia quinoa gluBteionlo fgriesceh, Schnitzer NL",3.48,6.29,3.48,3.48,PASS,Order_4294423.pdf
5011562,1,1,24,15 gram,"Chewing-Gum spearmint, XyligumNiet-biologisch BE",0.74,1.49,17.76,17.76,PASS,Order_4294423.pdf
5011755,1,1,6,400 gram,"Couscous whole wheat, Green ABgieologisch IT",1.59,2.79,9.54,9.54,PASS,Order_4294423.pdf
5011870,1,1,4,35 gram,"Herbal-tea calmer chameleon, ClBipioploegrisch NL",2.47,4.49,9.88,9.88,PASS,Order_4294423.pdf
5011880,1,1,4,40 gram,"Herbal-tea orange-turmeric, ClippBeiorlogisch NL",2.47,4.49,9.88,9.88,PASS,Order_4294423.pdf
5012071,1,1,8,150 gram,"Hazelnuts blanched, Green Age Biologisch NL",2.31,4.19,18.48,18.48,PASS,Order_4294423.pdf
5013311,1,1,4,"1,50 kilogram","Dishwasher-powder, Sonett Non-food DE",4.88,8.79,19.52,19.52,PASS,Order_4294423.pdf
5014251,1,1,7,50 gram,"Multifruit, Frugi Biologisch DK",1.10,1.99,7.70,7.70,PASS,Order_4294423.pdf
