filename,page,line_on_page,code,confidence,reason,text
Invoice(46).pdf,1,3,,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(46).pdf,1,5,,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(46).pdf,1,13,353,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(46).pdf,1,37,,MEDIUM,Contains special characters,0 0.00 67.75 0.00 DRS 15c 0 0.00 Tax: 12.95
Invoice(46).pdf,1,38,,MEDIUM,Unknown,2 13.50 70.22 9.48 DRS 25c 0 0.00
Invoice(46).pdf,1,40,,MEDIUM,Only 4 fields (expected 8),1 23.00 15.10 3.47
